"id" "long" "lat" "order" "hole" "piece" "group" "name"
"0" 30.9543603 69.632171 70 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 30.8202382259602 69.7898508707201 71 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 30.88584 69.7915101 72 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.41644 69.7081 73 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.4166101 69.6367799 74 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.5137099 69.6864501 75 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.7877401 69.65481 76 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.68619 69.7052 77 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.73366 69.8165 78 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.0634501 69.76615 79 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.9380401 69.85183 80 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.98579 69.86872 81 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.9608599 69.8925999 82 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.8687999 69.89844 83 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.9189399 69.94936 84 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.0563513 69.9453716 85 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.52202 69.83086 86 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.4813799 69.81184 87 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.52287 69.79317 88 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.9487799 69.76889 89 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 33.1301099 69.71468 90 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 33.0932899 69.7155801 91 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 33.08635 69.64058 92 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.83661 69.5670401 93 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.1942001 69.62929 94 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.15436 69.64418 95 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.19581 69.68374 96 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.15979 69.7111699 97 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.05896 69.6347501 98 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 31.9739501 69.63236 99 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.0722301 69.58293 100 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.43754 69.5548399 101 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.3934499 69.5242799 102 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.49944 69.4714501 103 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 33.0725099 69.45248 104 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 32.87976 69.3088099 105 FALSE "1" "0.1" "Северо-Западный федеральный округ"
"0" 33.15025 69.4388799 106 FALSE "1" "0.1" "Северо-Западный федеральный округ"
